city,county,state,site_url,known_directory_url
Airway Heights,Spokane,WA,https://www.ci.airway-heights.wa.us/,
Albion,Whitman,WA,https://www.townofalbion.com/,
Bellingham,Whatcom,WA,https://cob.org/,https://cob.org/services/Directory
Blaine,Whatcom,WA,https://www.cityofblaine.com/,
Bothell,King/Snohomish,WA,https://www.bothellwa.gov/,https://www.bothellwa.gov/Directory.aspx
Cheney,Spokane,WA,https://www.cheneywa.gov/,
Chewelah,Stevens,WA,https://www.cityofchewelah.org/,
Colfax,Whitman,WA,https://www.colfaxwa.org/,
College Place,Walla Walla,WA,https://www.cpwa.us/,https://www.cpwa.us/Directory.aspx
Deer Park,Spokane,WA,https://www.cityofdeerparkwa.com/,
